row_id,material_name,category,subcategory,building_phase,climate_zone,sector,actual_floor_count,building_area_m2,budget_tier,maintenance_preference,sustainability_priority,user_priority,climate_exposure_level,coastal_exposure,humidity_exposure,max_recommended_floors,compressive_strength_mpa,thermal_performance_score,moisture_resistance_score,corrosion_resistance_score,fire_resistance_score,durability_score,maintenance_score,sustainability_score,carbon_footprint_kgco2e,service_life_years,suitable_for_coastal,suitable_for_wet_zone,suitable_for_dry_zone,suitable_for_highland,recommended_for_residential,recommended_for_commercial,recommended_for_industrial,recommended,recommendation_score,decision_reasons
GCA000001,Cement Block,Wall Systems,Concrete Block,Superstructure,Wet Zone,Residential,1,800,Low,Premium Finish,Medium,Durability,Medium,0,1,6,7,50,69,72,87,80,75,48,160,50,1,1,1,1,1,1,1,1,92,PASS:sector_compatible_residential; PASS:floors_well_within_material_capacity
GCA000002,Cement Block,Wall Systems,Concrete Block,Superstructure,Wet Zone,Residential,12,350,Low,Premium Finish,Medium,Durability,Medium,0,1,6,7,50,69,72,87,80,75,48,160,50,1,1,1,1,1,1,1,0,37,PASS:sector_compatible_residential; FAIL:floors_12_exceeds_material_limit_6; WARN:masonry_wall_approaching_floor_count_limit
GCA000003,Concrete Roof Tile,Roofing,Concrete Tile,Roof,Wet Zone,Commercial,1,120,Premium,Low Maintenance,High,Cost,Medium,0,1,3,25,65,72,80,88,78,76,59,150,50,1,1,1,1,1,0,0,1,53,FAIL:not_recommended_for_commercial_sector; PASS:floors_well_within_material_capacity
GCA000004,Concrete Roof Tile,Roofing,Concrete Tile,Roof,Wet Zone,Commercial,25,80,Premium,Low Maintenance,High,Cost,Medium,0,1,3,25,65,72,80,88,78,76,59,150,50,1,1,1,1,1,0,0,0,3,FAIL:not_recommended_for_commercial_sector; FAIL:floors_25_exceeds_material_limit_3
GCA000005,Steel Rebar,Structural,Reinforcement,Structure,Dry Zone,Residential,30,800,Medium,Premium Finish,Low,Performance,Low,0,0,40,500,15,32,30,43,76,50,50,1600,50,1,1,1,1,1,1,1,1,82,PASS:sector_compatible_residential; PASS:floors_within_material_capacity
GCA000006,Steel Rebar,Structural,Reinforcement,Structure,Dry Zone,Residential,42,5000,Medium,Premium Finish,Low,Performance,Low,0,0,40,500,15,32,30,43,76,50,50,1600,50,1,1,1,1,1,1,1,1,67,PASS:sector_compatible_residential; FAIL:floors_42_exceeds_material_limit_40
GCA000007,Reinforced Concrete Grade 30,Structural,Cast-in-situ Concrete,Structure,Wet Zone,Industrial,5,1500,Medium,Balanced,High,Durability,Medium,0,1,20,30,35,79,70,92,87,83,44,320,60,1,1,1,1,1,1,1,1,88,PASS:sector_compatible_industrial; PASS:floors_well_within_material_capacity; PASS:carbon_cost_matches_budget_tier; FAIL:high_sustainability_priority_but_low_score_material
GCA000008,Reinforced Concrete Grade 30,Structural,Cast-in-situ Concrete,Structure,Wet Zone,Industrial,30,3000,Medium,Balanced,High,Durability,Medium,0,1,20,30,35,79,70,92,87,83,44,320,60,1,1,1,1,1,1,1,0,38,PASS:sector_compatible_industrial; FAIL:floors_30_exceeds_material_limit_20; PASS:carbon_cost_matches_budget_tier; FAIL:high_sustainability_priority_but_low_score_material
GCA000009,Porcelain Tile,Finishing,Ceramic Floor/Wall,Finishing,Coastal,Commercial,25,120,Medium,Low Maintenance,High,Durability,High,1,1,40,30,40,93,76,90,84,86,52,90,40,1,1,1,1,1,1,0,1,89,PASS:coastal_rated_material; PASS:sector_compatible_commercial; PASS:floors_within_material_capacity; PASS:low_maintenance_material_matches_preference; FAIL:high_sustainability_priority_but_low_score_material
GCA000010,Porcelain Tile,Finishing,Ceramic Floor/Wall,Finishing,Coastal,Commercial,42,350,Medium,Low Maintenance,High,Durability,High,1,1,40,30,40,93,76,90,84,86,52,90,40,1,1,1,1,1,1,0,0,74,PASS:coastal_rated_material; PASS:sector_compatible_commercial; FAIL:floors_42_exceeds_material_limit_40; PASS:low_maintenance_material_matches_preference; FAIL:high_sustainability_priority_but_low_score_material
