Style,Roof_Types,Window_Families,Door_Families,Roof_Geometry,Facade_Geometry,Window_Proportions,Door_Proportions,Balcony_Geometry,Column_Geometry,Landscape_Geometry,Furniture_Style,Color_Palette_JSON,Climate_Affinity,Budget_Range,Sustainability_Rating,Roof_Pitch,Overhang_Depth,Has_Verandah,Has_Balcony
Modern,Flat Parapet,Large Glazing,flush_panel,flat_parapet,"cantilever:0.5,projection:0.3",panoramic,pivot_large,glass_rail,square,minimalist_zen,modernist,"{""wall"":""#f2f5f8"",""roof"":""#1a1e24"",""accent"":""#0ea5e9"",""trim"":""#cbd5e1"",""ceiling"":""#ffffff"",""floor"":""#e0e5e8""}",Moderate,Balanced-Premium,75,0.0,0.3,False,True
Modern Tropical,Hip Roof,Large Sliding Louvred,Timber Pivot,hipped,"cantilever:0.8,projection:1.2",vertical,pivot_large,timber_balustrade,round,tropical_garden,midcentury,"{""wall"":""#e8e0d0"",""roof"":""#a84c38"",""accent"":""#22c55e"",""trim"":""#6b5030"",""ceiling"":""#f8f5f0"",""floor"":""#92400e""}",Wet-Humid,Balanced-Premium,85,1.1,2.2,True,False
Traditional Sri Lankan,Clay Tile Hipped,Timber Frame Grids,Double Timber Arch,traditional_double,"cantilever:0.0,projection:0.5",square,grand_double,timber_balustrade,round,tropical_garden,teak_traditional,"{""wall"":""#ede0d0"",""roof"":""#8b3a2b"",""accent"":""#c87832"",""trim"":""#b8967a"",""ceiling"":""#fffaf2"",""floor"":""#c87040""}",Wet-Humid,Budget-Balanced,90,1.2,1.8,True,False
Colonial,Slate Hipped,Colonial Sash,Colonial Panel,hipped,"cantilever:0.0,projection:0.8",vertical,grand_double,metal_rail,round,english_lawn,traditional,"{""wall"":""#f8f8f4"",""roof"":""#4a1a0e"",""accent"":""#8b7040"",""trim"":""#ffffff"",""ceiling"":""#fafaf8"",""floor"":""#451a03""}",Moderate,Premium,70,1.05,1.3,True,False
Contemporary,Mono Pitch,Large Glazing,glass_pivot,mono_pitch,"cantilever:1.2,projection:1.5",panoramic,pivot_large,glass_rail,square,minimalist_zen,modernist,"{""wall"":""#d0d8e0"",""roof"":""#2e3d4f"",""accent"":""#f59e0b"",""trim"":""#94a3b8"",""ceiling"":""#f5f5f5"",""floor"":""#78350f""}",Moderate-Wet,Balanced-Premium,80,0.5,1.0,False,True
Minimalist,Flat Roof,Large Glazing,flush_panel,flat,"cantilever:1.0,projection:0.5",panoramic,flush_single,glass_rail,square,minimalist_zen,minimalist_white,"{""wall"":""#fafafa"",""roof"":""#202020"",""accent"":""#404040"",""trim"":""#d4d4d4"",""ceiling"":""#ffffff"",""floor"":""#e8e8e8""}",Moderate,Balanced,82,0.0,0.1,False,False
Luxury Villa,Flat Parapet,Large Glazing,glass_pivot,flat_parapet,"cantilever:1.5,projection:1.8",panoramic,pivot_large,glass_rail,square,formal_axial,modernist,"{""wall"":""#f8f8f6"",""roof"":""#2a2c30"",""accent"":""#d4af37"",""trim"":""#d4af37"",""ceiling"":""#ffffff"",""floor"":""#f2f0ee""}",Warm-Dry,Premium,78,0.0,0.5,False,True
Eco Home,Green Flat,Timber Frame Louvres,Recycled Timber Flush,flat,"cantilever:0.4,projection:1.0",vertical,flush_single,timber_balustrade,round,tropical_garden,rustic_eco,"{""wall"":""#dce6d5"",""roof"":""#455c3c"",""accent"":""#15803d"",""trim"":""#854d0e"",""ceiling"":""#f0fdf4"",""floor"":""#78350f""}",Wet-Humid,Budget-Balanced,98,0.2,1.5,True,True
Industrial,Metal Gable,Steel Frame Crittall,Steel Pivot,mono_pitch,"cantilever:0.6,projection:1.0",vertical,pivot_large,metal_rail,square,minimalist_zen,industrial_iron,"{""wall"":""#78716c"",""roof"":""#1c1917"",""accent"":""#b45309"",""trim"":""#44403c"",""ceiling"":""#292524"",""floor"":""#57534e""}",Dry-Warm,Balanced,70,0.4,0.8,False,True
Scandinavian,High Gable,Large Glazing,Pale Timber Flush,gable,"cantilever:0.5,projection:0.8",vertical,flush_single,metal_rail,square,english_lawn,minimalist_white,"{""wall"":""#fafaf9"",""roof"":""#2b2d30"",""accent"":""#3b82f6"",""trim"":""#d6d3d1"",""ceiling"":""#fafaf9"",""floor"":""#e7e5e4""}",Cold-Moderate,Balanced-Premium,85,1.4,0.6,False,True
Mediterranean,Terracotta Arch Gable,Arched Grids,Arched Panel Timber,traditional_double,"cantilever:0.2,projection:0.6",vertical,grand_double,metal_rail,round,tropical_garden,teak_traditional,"{""wall"":""#fef3c7"",""roof"":""#b45309"",""accent"":""#0369a1"",""trim"":""#d97706"",""ceiling"":""#fffdf5"",""floor"":""#ca8a04""}",Dry-Warm,Premium,76,0.6,1.0,True,True
