Mat_ID,Building Element,Material Name,Material Category,Specification,Unit,BSR Rate 2024 (LKR / Unit),BSR Rate (LKR/m³ equiv.),Compressive Strength (N/mm²),Tensile Strength (N/mm²),Density (kg/m³),Young's Modulus (GPa),Fire Rating (hrs),Embodied Energy (MJ/kg),Embodied Carbon (kgCO2e/kg),Service Life (years),SL Availability (1–5)
F-001,Foundation / Substructure,Plain Concrete Gr. 15 (1:2:4) – Blinding,Concrete,OPC 33 Grade; 75 mm blinding layer,m³,28500,28500.0,15.0,1.5,2400,22.0,0.5,0.95,0.13,50,5
F-002,Foundation / Substructure,Plain Concrete Gr. 20 (1:1.5:3) – Strip Footing,Concrete,OPC 43 Grade; in-situ; strip/pad footing,m³,34200,34200.0,20.0,2.0,2400,25.0,1.0,1.05,0.145,60,5
F-003,Foundation / Substructure,Reinforced Concrete Gr. 25 – Raft Foundation,Reinforced Concrete,OPC 43; 12 mm bars; raft slab,m³,52000,52000.0,25.0,2.5,2450,26.0,2.0,1.55,0.215,75,5
F-004,Foundation / Substructure,Reinforced Concrete Gr. 30 – Pile Cap,Reinforced Concrete,OPC 53; 16 mm bars; deep foundation,m³,61000,61000.0,30.0,3.0,2450,27.0,2.0,1.65,0.225,75,5
F-005,Foundation / Substructure,Mass Concrete Gr. 20 (Low Heat Cement) – Dam/Retaining,Concrete,Low Heat PC (LHC); mass concreting,m³,36000,36000.0,20.0,2.0,2400,25.0,1.5,0.98,0.14,80,4
F-006,Foundation / Substructure,Lean Concrete Gr. 10 (1:3:6) – Under-slab fill,Concrete,OPC 33; mass fill below structural slab,m³,18200,18200.0,10.0,1.0,2300,20.0,0.5,0.8,0.11,50,5
F-007,Foundation / Substructure,Stabilised Soil-Cement (5% OPC) – Raft Sub-base,Stabilised Earth,In-situ soil + 5% OPC; CBR improvement,m³,8500,8500.0,5.0,0.5,1800,1.2,0.25,0.42,0.058,30,5
F-008,Foundation / Substructure,Precast Concrete Pile Gr. 35 – Bored Pile,Precast Concrete,OPC 53; factory cast; crane installation,m,14500,58000.0,35.0,3.5,2500,30.0,2.0,1.8,0.25,75,3
S-001,Floor Slab / Podium,Reinforced Concrete Gr. 25 – Ground Floor Slab,Reinforced Concrete,OPC 43; 150 mm thick; mesh reinforcement,m³,52000,52000.0,25.0,2.5,2450,26.0,2.0,1.55,0.215,60,5
S-002,Floor Slab / Podium,Reinforced Concrete Gr. 30 – Suspended Slab,Reinforced Concrete,OPC 53; 200 mm; high-rise floors,m³,61000,61000.0,30.0,3.0,2450,27.0,2.0,1.65,0.225,60,5
S-003,Floor Slab / Podium,Post-Tensioned Concrete Gr. 35 – Long-Span Slab,Reinforced Concrete,OPC 53; PT cables; 250–300 mm spans >8 m,m³,78000,78000.0,35.0,3.5,2500,30.0,2.0,1.9,0.26,70,3
S-004,Floor Slab / Podium,Precast Hollow-Core Slab (200 mm),Precast Concrete,Factory-produced; 200 mm depth; fast erect,m²,7200,36000.0,35.0,3.5,1300,32.0,2.0,1.75,0.24,60,3
S-005,Floor Slab / Podium,Composite Steel Deck Floor (75 mm deck + Gr.25 topping),Composite,Steel deck + 125 mm Gr. 25 RC; commercial,m²,9800,49000.0,25.0,2.5,2800,28.0,1.0,2.2,0.31,50,3
S-006,Floor Slab / Podium,Timber Floor – Jak (Artocarpus) 50 mm T&G boards,Timber,Sustainably harvested Jak; traditional floor,m²,4200,21000.0,7.5,10.0,600,8.0,0.5,5.0,0.3,40,4
EW-001,External Wall,Brick Wall 200 mm – 1:4 CM (First Class),Brick / Masonry,190×90×90 mm kiln-burnt; cement mortar 1:4,m²,7200,36000.0,3.5,0.35,2600,10.0,1.0,3.5,0.24,75,5
EW-002,External Wall,Brick Wall 300 mm – 1:3 CM (Exposed/Coastal),Brick / Masonry,300 mm; 1:3 mortar for water-logged areas,m²,10600,35333.0,3.5,0.35,2600,10.0,1.5,3.5,0.24,75,5
EW-003,External Wall,Solid Concrete Block 200 mm – 7 N/mm² (SLS 855),Concrete Block,440×215×200 mm dense block; SLS 855,m²,5900,29500.0,7.0,0.7,2200,20.0,1.5,0.67,0.093,60,5
