scenario_id,building_type,location,floor_count,total_area,structural_system,budget_level,sustainability_preference,climate_zone,climate_humidity,climate_salinity,climate_rainfall_mm,top_material_structural,top_material_walling,top_material_roofing,top_material_flooring,top_material_external_wall,overall_hybrid_score,engineering_score,ml_confidence,average_sustainability,decision_confidence_score,decision_confidence_level,engineering_weight,ml_weight,score_formula,structural_compatibility,climate_compatibility,sls_compliance,engine_structural_system,eco_rating,embodied_carbon_avg,lifecycle_avg,runtime_ms,api_status
S01,Residential,Colombo,2,180.0,Reinforced Concrete Frame,Balanced,High,Moderate Coastal Humid,75%,Extreme,N/A,N/A,Wire-Cut Clay Brick (Premium Grade),Crystalline Slurry Waterproofing (Penetrating),Recycled Composite Decking (WPC),N/A,84.2,92.9,57.9,70.9,90.4,High,75%,25%,Overall Score = (Engineering Score × 75%) + (ML Score × 25%),PASS,PASS,PASS,Reinforced Concrete Frame,70.9,N/A,N/A,4059.4,OK
S02,Residential,Galle,1,120.0,Reinforced Concrete Frame,Budget,Low,Moderate Coastal Humid,73%,Extreme,N/A,N/A,Wire-Cut Clay Brick (Premium Grade),Crystalline Slurry Waterproofing (Penetrating),Recycled Composite Decking (WPC),N/A,84.9,92.9,60.8,70.9,90.4,High,75%,25%,Overall Score = (Engineering Score × 75%) + (ML Score × 25%),PASS,PASS,PASS,Reinforced Concrete Frame,70.9,N/A,N/A,3958.4,OK
S03,Residential,Jaffna,2,200.0,Load-Bearing Masonry,Balanced,Medium,Extreme Coastal Saline,75%,Extreme,N/A,N/A,Wire-Cut Clay Brick (Premium Grade),Crystalline Slurry Waterproofing (Penetrating),Recycled Composite Decking (WPC),N/A,83.2,91.3,59.0,69.7,88.4,High,75%,25%,Overall Score = (Engineering Score × 75%) + (ML Score × 25%),PASS,PASS,PASS,Load-Bearing Masonry,69.7,N/A,N/A,4140.4,OK
S04,Residential,Kandy,3,300.0,Reinforced Concrete Frame,Premium,High,Intermediate Tropical,67%,Low,N/A,N/A,Wire-Cut Clay Brick (Premium Grade),Recycled Rubber Flat Roof Membrane,Polished Terrazzo Flooring (Marble Aggregate),N/A,75.6,80.2,61.9,80.0,88.6,High,75%,25%,Overall Score = (Engineering Score × 75%) + (ML Score × 25%),PASS,PASS,PASS,Reinforced Concrete Frame,80.0,N/A,N/A,4384.9,OK
S05,Residential,Batticaloa,1,110.0,Reinforced Concrete Frame,Budget,Medium,Extreme Coastal Saline,51%,Extreme,N/A,N/A,Wire-Cut Clay Brick (Premium Grade),Crystalline Slurry Waterproofing (Penetrating),Recycled Composite Decking (WPC),N/A,84.7,92.8,60.2,71.5,90.4,High,75%,25%,Overall Score = (Engineering Score × 75%) + (ML Score × 25%),PASS,PASS,PASS,Reinforced Concrete Frame,71.5,N/A,N/A,4045.0,OK
S06,Residential,Negombo,2,160.0,Steel Frame,Balanced,Medium,Moderate Coastal Humid,73%,Extreme,N/A,N/A,Wire-Cut Clay Brick (Premium Grade),Crystalline Slurry Waterproofing (Penetrating),Recycled Composite Decking (WPC),N/A,83.4,91.4,59.3,73.0,86.9,High,75%,25%,Overall Score = (Engineering Score × 75%) + (ML Score × 25%),PASS,PASS,PASS,Steel Frame,73.0,N/A,N/A,2052.8,OK
S07,Residential,Trincomalee,2,170.0,Reinforced Concrete Frame,Premium,High,Extreme Coastal Saline,50%,Extreme,N/A,N/A,Wire-Cut Clay Brick (Premium Grade),Crystalline Slurry Waterproofing (Penetrating),Recycled Composite Decking (WPC),N/A,84.1,92.8,57.8,71.5,90.4,High,75%,25%,Overall Score = (Engineering Score × 75%) + (ML Score × 25%),PASS,PASS,PASS,Reinforced Concrete Frame,71.5,N/A,N/A,1876.1,OK
S08,Residential,Matara,1,90.0,Load-Bearing Masonry,Budget,Low,Moderate Coastal Humid,66%,Extreme,N/A,N/A,Wire-Cut Clay Brick (Premium Grade),Crystalline Slurry Waterproofing (Penetrating),Recycled Composite Decking (WPC),N/A,83.4,91.3,59.8,69.1,88.4,High,75%,25%,Overall Score = (Engineering Score × 75%) + (ML Score × 25%),PASS,PASS,PASS,Load-Bearing Masonry,69.1,N/A,N/A,2195.1,OK
S09,Residential,Anuradhapura,2,250.0,Reinforced Concrete Frame,Balanced,High,Dry Zone Tropical Arid,54%,Low,N/A,N/A,Wire-Cut Clay Brick (Premium Grade),Zinc-Aluminium Corrugated Sheet (55% Al-Zn),Polished Terrazzo Flooring (Marble Aggregate),N/A,86.6,95.0,61.3,72.2,92.5,High,75%,25%,Overall Score = (Engineering Score × 75%) + (ML Score × 25%),PASS,PASS,PASS,Reinforced Concrete Frame,72.2,N/A,N/A,3858.6,OK
S10,Residential,Ampara,1,140.0,Load-Bearing Masonry,Budget,Medium,Intermediate Tropical,55%,Low,N/A,N/A,Wire-Cut Clay Brick (Premium Grade),Recycled Rubber Flat Roof Membrane,Recycled Composite Decking (WPC),N/A,75.8,80.4,61.9,77.8,88.6,High,75%,25%,Overall Score = (Engineering Score × 75%) + (ML Score × 25%),PASS,PASS,PASS,Load-Bearing Masonry,77.8,N/A,N/A,4011.4,OK
