index,scenario_id,building_type,location,structural_system,climate_zone,budget_level,overall_hybrid_score,engineering_score,ml_confidence,average_sustainability,decision_confidence_score,runtime_ms
1,S01,Residential,Colombo,Reinforced Concrete Frame,Moderate Coastal Humid,Balanced,84.2,92.9,57.9,70.9,90.4,4059.4
2,S02,Residential,Galle,Reinforced Concrete Frame,Moderate Coastal Humid,Budget,84.9,92.9,60.8,70.9,90.4,3958.4
3,S03,Residential,Jaffna,Load-Bearing Masonry,Extreme Coastal Saline,Balanced,83.2,91.3,59.0,69.7,88.4,4140.4
4,S04,Residential,Kandy,Reinforced Concrete Frame,Intermediate Tropical,Premium,75.6,80.2,61.9,80.0,88.6,4384.9
5,S05,Residential,Batticaloa,Reinforced Concrete Frame,Extreme Coastal Saline,Budget,84.7,92.8,60.2,71.5,90.4,4045.0
6,S06,Residential,Negombo,Steel Frame,Moderate Coastal Humid,Balanced,83.4,91.4,59.3,73.0,86.9,2052.8
7,S07,Residential,Trincomalee,Reinforced Concrete Frame,Extreme Coastal Saline,Premium,84.1,92.8,57.8,71.5,90.4,1876.1
8,S08,Residential,Matara,Load-Bearing Masonry,Moderate Coastal Humid,Budget,83.4,91.3,59.8,69.1,88.4,2195.1
9,S09,Residential,Anuradhapura,Reinforced Concrete Frame,Dry Zone Tropical Arid,Balanced,86.6,95.0,61.3,72.2,92.5,3858.6
10,S10,Residential,Ampara,Load-Bearing Masonry,Intermediate Tropical,Budget,75.8,80.4,61.9,77.8,88.6,4011.4
11,S11,Residential,Kurunegala,Reinforced Concrete Frame,Intermediate Tropical,Premium,75.6,80.2,61.9,80.0,88.6,2186.0
12,S12,Residential,Hambantota,Reinforced Concrete Frame,Dry Zone Tropical Arid,Balanced,83.2,90.8,60.2,65.6,86.7,2170.0
13,S13,Office,Colombo,Reinforced Concrete Frame,Moderate Coastal Humid,Premium,72.0,81.5,43.5,70.4,87.0,9472.7
14,S14,Office,Galle,Steel Frame,Moderate Coastal Humid,Balanced,73.3,80.3,52.4,72.6,83.6,4316.8
15,S15,Office,Jaffna,Reinforced Concrete Frame,Extreme Coastal Saline,Budget,75.0,82.1,53.7,71.0,87.1,9366.4
16,S16,Office,Kandy,Reinforced Concrete Frame,Intermediate Tropical,Premium,62.8,68.5,45.4,80.0,84.6,11694.7
17,S17,Office,Negombo,Steel Frame,Moderate Coastal Humid,Balanced,74.0,81.1,52.7,72.6,83.8,12965.4
18,S18,Office,Matara,Reinforced Concrete Frame,Moderate Coastal Humid,Balanced,74.3,81.5,52.8,70.4,87.0,4871.7
19,S19,Office,Trincomalee,Steel Frame,Extreme Coastal Saline,Premium,70.9,80.2,42.8,72.0,83.6,5204.1
20,S20,Office,Anuradhapura,Reinforced Concrete Frame,Dry Zone Tropical Arid,Budget,76.3,83.4,54.9,72.2,89.0,12303.4
21,S21,Office,Kurunegala,Reinforced Concrete Frame,Intermediate Tropical,Premium,62.8,68.5,45.4,80.0,84.6,4492.0
22,S22,Office,Batticaloa,Reinforced Concrete Frame,Extreme Coastal Saline,Balanced,74.1,81.4,52.3,69.8,86.9,4932.7
23,S23,Commercial,Colombo,Reinforced Concrete Frame,Moderate Coastal Humid,Premium,78.8,87.3,53.3,66.4,88.7,13525.6
24,S24,Commercial,Galle,Steel Frame,Moderate Coastal Humid,Balanced,80.2,86.8,60.5,64.7,85.5,12312.7
